item_id,hotel_id,city,rows,occ_cells,alerts,template,sg_on,state,options,sg_rows,dup_groups,neg_rows,pos_rows,hotel_name_hint,t_vn
675,casepia,Phú Quốc,9,0,0,gọn(không_cột),False,gọn,9,0,0,0,9,Casepia,2026-09-25 22:26:32
676,rosie-amp-amie-hillside-luxury-phu-quoc-apartment,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,0,Rosie Hillside Seaview Phu Quoc Apartment,2026-09-25 22:26:46
677,sakurakyo-amp-spa-phu-quoc,Phú Quốc,9,0,0,gọn(không_cột),False,gọn,9,0,0,0,9,Sakurakyo Hotel & Spa Phu Quoc - Free Hon Thom Island Waterpark Cable Car Until 15 December 2025,2026-09-25 22:27:00
678,velvet-hillside-phu-quoc-apartment-sea-amp-firework-view,Phú Quốc,44,0,0,gọn(không_cột),False,gọn,44,0,2,0,18,Elyday Apartment Hillside Phu Quoc - Sea & Firework view,2026-09-25 22:27:14
679,roma,Phú Quốc,16,0,0,gọn(không_cột),False,gọn,16,0,0,0,16,Roma Hotel Phu Quoc - Free Airport Shuttle & Sunset Town Tour,2026-09-25 22:27:36
680,venice-phu-quoc-free-hon-thom-island-waterpark-cable-car,Phú Quốc,9,0,0,gọn(không_cột),False,gọn,9,0,1,0,9,Venice Hotel Phu Quoc - Free Airport Shuttle & Sunset Town Tour,2026-09-25 22:27:53
681,la-nube-residence-phu-quoc12,Phú Quốc,17,0,0,gọn(không_cột),False,gọn,17,0,1,0,5,La Limone Residence,2026-09-25 22:28:08
682,famiana-village,Phú Quốc,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,3,An Nhien Retreat Phu Quoc with Yoga Daily & Beach access,2026-09-25 22:28:24
683,praha,Phú Quốc,7,7,1,có_cột_số_người,True,BẬT(có dòng 1 khách),7,1,0,0,7,Praha Hotel,2026-09-25 22:28:37
684,duong-dong-phu-quoc,Phú Quốc,11,11,1,có_cột_số_người,True,BẬT(có dòng 1 khách),11,1,1,0,0,Dương Đông Hotel,2026-09-25 22:28:51
685,gaia-phu-quoc,Phú Quốc,17,17,1,có_cột_số_người,True,BẬT(có dòng 1 khách),17,1,1,0,17,Gaia Hotel Phu Quoc,2026-09-25 22:29:06
