g0,hotel,checkin,item_id,n,pmin,pmax,n_room,n_rate,n_occ,n_meal,n_pkg,n_bid,ratio,dims
944,the-imperial-vung-tau,2026-11-18,30,2,3207560.0,3237820.0,1,1,1,1,2,2,1.009433962264151,tiện ích/gói
947,the-imperial-vung-tau,2026-11-18,30,2,2375288.0,2602360.0,1,2,2,1,2,2,1.0955976706824604,hủy + thanh toán + tiện ích/gói
948,the-imperial-vung-tau,2026-11-18,30,2,3086520.0,3116780.0,1,1,1,1,2,2,1.0098039215686274,tiện ích/gói
951,the-imperial-vung-tau,2026-11-18,30,2,3994320.0,4024580.0,1,1,2,1,2,2,1.0075757575757576,tiện ích/gói
954,the-imperial-vung-tau,2026-11-18,30,2,3933800.0,3964060.0,1,1,1,1,2,2,1.0076923076923077,tiện ích/gói
958,the-imperial-vung-tau,2026-11-18,30,2,5628360.0,5658620.0,1,1,1,1,2,2,1.0053763440860215,tiện ích/gói
959,the-imperial-vung-tau,2026-11-18,30,2,5809920.0,5809921.0,1,1,1,1,2,2,1.0000001721194096,tiện ích/gói
962,the-imperial-vung-tau,2026-11-18,30,2,3207560.0,3237820.0,1,1,1,1,2,2,1.009433962264151,tiện ích/gói
965,the-imperial-vung-tau,2026-11-18,30,2,3449640.0,3479900.0,1,1,1,1,2,2,1.0087719298245614,tiện ích/gói
967,the-imperial-vung-tau,2026-11-18,30,2,4417960.0,4448220.0,1,1,1,1,2,2,1.0068493150684932,tiện ích/gói
970,the-imperial-vung-tau,2026-11-18,30,2,6233560.0,6263820.0,1,1,2,1,2,2,1.0048543689320388,tiện ích/gói
1021,pearl-wealth-da-lat,2026-10-01,34,3,365750.0,420000.0,1,1,3,1,2,3,1.1483253588516746,1 khách + tiện ích/gói
1022,pearl-wealth-da-lat,2026-10-01,34,2,565250.0,630000.0,1,1,2,1,2,2,1.1145510835913313,tiện ích/gói
1023,pearl-wealth-da-lat,2026-10-01,34,3,266000.0,315000.0,1,1,3,1,2,3,1.1842105263157894,1 khách + tiện ích/gói
1024,pearl-wealth-da-lat,2026-10-01,34,2,651000.0,735000.0,1,1,2,1,2,2,1.1290322580645162,tiện ích/gói
1025,pearl-wealth-da-lat,2026-10-11,35,3,365750.0,420000.0,1,1,3,1,2,3,1.1483253588516746,1 khách + tiện ích/gói
1026,pearl-wealth-da-lat,2026-10-11,35,2,565250.0,630000.0,1,1,2,1,2,2,1.1145510835913313,tiện ích/gói
1027,pearl-wealth-da-lat,2026-10-11,35,3,266000.0,315000.0,1,1,3,1,2,3,1.1842105263157894,1 khách + tiện ích/gói
1028,pearl-wealth-da-lat,2026-10-11,35,2,651000.0,735000.0,1,1,2,1,2,2,1.1290322580645162,tiện ích/gói
1029,pearl-wealth-da-lat,2026-11-18,36,3,365750.0,420000.0,1,1,3,1,2,3,1.1483253588516746,1 khách + tiện ích/gói
1030,pearl-wealth-da-lat,2026-11-18,36,2,565250.0,630000.0,1,1,2,1,2,2,1.1145510835913313,tiện ích/gói
1031,pearl-wealth-da-lat,2026-11-18,36,3,292600.0,343000.0,1,1,3,1,2,3,1.1722488038277512,1 khách + tiện ích/gói
1032,pearl-wealth-da-lat,2026-11-18,36,2,651000.0,735000.0,1,1,2,1,2,2,1.1290322580645162,tiện ích/gói
1033,starview-villa,2026-10-01,37,4,455666.0,478401.0,1,1,2,1,2,4,1.0498940013079756,1 khách + tiện ích/gói
1034,starview-villa,2026-10-01,37,2,780000.0,780001.0,1,1,1,1,2,2,1.000001282051282,tiện ích/gói
1035,starview-villa,2026-10-01,37,4,640296.0,663031.0,1,1,2,1,2,4,1.0355070155053288,1 khách + tiện ích/gói
1036,starview-villa,2026-10-01,37,2,708500.0,708501.0,1,1,1,1,2,2,1.0000014114326041,tiện ích/gói
1037,starview-villa,2026-10-01,37,4,390666.0,413401.0,1,1,2,1,2,4,1.0581954918011804,1 khách + tiện ích/gói
1038,starview-villa,2026-10-11,38,4,455666.0,478401.0,1,1,2,1,2,4,1.0498940013079756,1 khách + tiện ích/gói
1039,starview-villa,2026-10-11,38,2,780000.0,780001.0,1,1,1,1,2,2,1.000001282051282,tiện ích/gói
1040,starview-villa,2026-10-11,38,4,640296.0,663031.0,1,1,2,1,2,4,1.0355070155053288,1 khách + tiện ích/gói
1041,starview-villa,2026-10-11,38,2,708500.0,708501.0,1,1,1,1,2,2,1.0000014114326041,tiện ích/gói
1042,starview-villa,2026-10-11,38,4,390666.0,413401.0,1,1,2,1,2,4,1.0581954918011804,1 khách + tiện ích/gói
1043,starview-villa,2026-11-18,39,4,555043.0,577778.0,1,1,2,1,2,4,1.0409607904252463,1 khách + tiện ích/gói
1044,starview-villa,2026-11-18,39,4,870396.0,893131.0,1,1,2,1,2,4,1.0261202946704717,1 khách + tiện ích/gói
1045,starview-villa,2026-11-18,39,2,938889.0,938889.0,1,1,1,1,2,2,1.0,tiện ích/gói
1046,starview-villa,2026-11-18,39,4,482821.0,505556.0,1,1,2,1,2,4,1.047087844149281,1 khách + tiện ích/gói
1088,b-amp-k-homestay-glocery-store,2026-10-01,43,2,810000.0,900000.0,1,1,2,1,1,2,1.1111111111111112,1 khách
1090,b-amp-k-homestay-glocery-store,2026-10-01,43,2,918000.0,972000.0,1,1,2,1,1,2,1.0588235294117647,1 khách
1091,b-amp-k-homestay-glocery-store,2026-10-01,43,2,1020000.0,1080000.0,1,1,2,1,1,2,1.0588235294117647,1 khách
1096,b-amp-k-homestay-glocery-store,2026-11-18,45,2,1260000.0,1400000.0,1,1,2,1,1,2,1.1111111111111112,1 khách
